"code",approved,flag,category,subcat,title,author,year,isbn,other_info,comments
"guild",1,0,"","","Glass: The Smithsonian Illustrated Library of Antiques","Paul Vickers Gardner","1979","LCC 78-62735","","donated by Warren &amp; Meredith Harmon"
"guild",1,0,"","","Islamic Metalwork","Rachel Ward","1993","0-7141-1458-8","","donated by Kaye Wallace"
"guild",1,0,"","","Kovel's American Silver Marks: 1650 to the Present","Ralph + Terry Kovel","1989","0-517-56882-9","","donated by Meredith Harmon"
"carowyn",1,0,"GLASS BOOKS","","American Glass","George S &amp; Helen McKearin","1941","Crown Publishers / New York","",""
"carowyn",1,0,"GLASS BOOKS","","Ancient and Byzantine Glass From Sardis","Axel von Saldern","1980","isbn 0-674-03303-5","",""
"carowyn",1,0,"GLASS BOOKS","","Ancient and Near Eastern Glass: The Toledo Museum of Art","Otto Whitmann, director","no documentation","","",""
"carowyn",1,0,"GLASS BOOKS","","Ancient Egyptian Glass and Faience Part II","Christie's - London","6/7/93","","",""
"carowyn",1,0,"GLASS BOOKS","","Ancient Egyptian Glass and Faience Part III","Christie's - London","12/8/93","","",""
"carowyn",1,0,"GLASS BOOKS","","Ancient Egyptian Glass Inlays Part 2","Christie's - London","7/7/93","","",""
"carowyn",1,0,"GLASS BOOKS","","Ancient Glass","Sotheby's - London","11/20/87","","",""
"carowyn",1,0,"GLASS BOOKS","","Ancient Glass: Alfred Wolkenberg Collection","Brooks Memorial Art Gallery - Memphis, TN","1964","","",""
"carowyn",1,0,"GLASS BOOKS","","Ancient Glass at the Newark Museum","Susan H. Auth","1976","LCC 76-47222","",""
"carowyn",1,0,"GLASS BOOKS","","Ancient Glass","Michael Bullock &amp; Alisa Jaffa, translators","1962","Barrie &amp; Rockliff / London","",""
"carowyn",1,0,"GLASS BOOKS","","Ancient Stained and Painted Glass","F.S. Eden","1913","Cambridge: University Press","",""
"carowyn",1,0,"GLASS BOOKS","","Antique Glass Bottles","Willy Van den Bossche","2001","isbn 1-85149-337-9","","$30"
"carowyn",1,0,"GLASS BOOKS","","Antiquities","Christie's New York","12/10/04","","(also jewelry, sculpture, etc.)",""
"carowyn",1,0,"GLASS BOOKS","","The Art of Glass Making","Sidney Waugh","1937","Dodd, Mead &amp; Co / New York","",""
"carowyn",1,0,"GLASS BOOKS","","The Breitbart Collection of Antiquities and Ancient Glass","Sotheby's - New York","Wed 6/20/1990","","",""
"carowyn",1,0,"GLASS BOOKS","","Collecting Lalique Perfume Bottles &amp; Glass","Robert Prescott-Walker","2001","isbn 1-870703-14-6","","$10 - Atlantic Books"
"carowyn",1,0,"GLASS BOOKS","","The Constable-Maxwell Collection of Ancient Glass","Sotheby's","5/4/79-6/5/79","","",""
"carowyn",1,0,"GLASS BOOKS","","Crafting in Glass: Molding, Fusing, Embellishing, Designing","Anita &amp; Seymour Isenberg","1981","isbn 0-8019-6947-6","",""
"carowyn",1,0,"GLASS BOOKS","","Czechoslovakian Glass &amp; Collectibles","Dale &amp; Diane Barta, Helen M Rose","1992","ISBN 0-89145-483-7","",""
"carowyn",1,0,"GLASS BOOKS","","Faith, Hope, and Light: The Art of the Stained Glass Window","Courage Books / Running Press","1999","ISBN 0-7264-0593-7","",""
"carowyn",1,0,"GLASS BOOKS","","Fancy Beads from the West African Trade, Volume III","John &amp; Ruth Picard","1987","","","SIGNED"
"carowyn",1,0,"GLASS BOOKS","","Four Hellenistic Vessels","Museum News / The Toledo Museum of Art","Vol 22, ZNo 2, 1980","","",""
"carowyn",1,0,"GLASS BOOKS","","Glass","John A Brooks","1973","ISBN 0-307-43112-6","",""
"carowyn",1,0,"GLASS BOOKS","","Glass","Reino Leifkes ed","1997","ISBN 1-85177-197-2","",""
"carowyn",1,0,"GLASS BOOKS","","Glass","Paul Vickers Gardner","1979","LCC 78-62735","",""
"carowyn",1,0,"GLASS BOOKS","","Glass &amp; Metalware","Tony Curtis, intro","1990","ISBN 1-85170-915-0","",""
"carowyn",1,0,"GLASS BOOKS","","Glass: A Guide for Collectors","Gabriella Gros-Galliner","1970","SBN 8128-1326-X","",""
"carowyn",1,0,"GLASS BOOKS","","Glass and Glassmaking in Ancient Mesopotamia","Axel von Saldern et al","1988","ISBN 0-87290-058-4","",""
"carowyn",1,0,"GLASS BOOKS","","Glass Beads from Early Anglo-Saxon Graves","Birte Brugmann","2004","ISBN 1-84217-104-6","",""
"carowyn",1,0,"GLASS BOOKS","","Glass Beads From Europe","Sibylle Jargstorf","1995","isbn 0-88740-839-7","",""
"carowyn",1,0,"GLASS BOOKS","","Glass Fact File A-Z","Ivo Haanstra","Sept 2004","","",""
"carowyn",1,0,"GLASS BOOKS","","Glass From Islamic Lands","Stefano Carboni","2001","ISBN 0-500-97607-4","",""
"carowyn",1,0,"GLASS BOOKS","","Glass From the Ancient World: The Ray Winfield Smith Collection","Corning Museum of Glass","1957","LCC 57-11404","",""
"carowyn",1,0,"GLASS BOOKS","","Glass","George Savage","1965","Wiedenfeld &amp; Nicholson / London","",""
"carowyn",1,0,"GLASS BOOKS","","Glass","George Savage","1972","isbn 7064-0038-0","",""
"carowyn",1,0,"GLASS BOOKS","","Glass in Jewelry: Hidden Artistry in Glass","Sibylle Jargstorf","1991","isbn 0-88740-295-x","",""
"carowyn",1,0,"GLASS BOOKS","","The Glass Industry in Ancient Egypt Until of the Coptic Era (BOOKLET)","Dr. Raouf Habib","","","",""
"carowyn",1,0,"GLASS BOOKS","","Glass of the Roman Empire","David Whitehouse","1988","SBN 0-87290-118-1","",""
"carowyn",1,0,"GLASS BOOKS","","Glass of the Sultans","Stefano Carboni &amp; David Whitehouse","2001","ISBN 0-87099-986-9","",""
"carowyn",1,0,"GLASS BOOKS","","Glass: Philosophy and Method","John Burton","1967","LCC 67-28894","",""
"carowyn",1,0,"GLASS BOOKS","","Glass: The Smithsonian Illustrated Library of Antiques","Paul Vickers Gardner","1979","LCC 78-62735","",""
"carowyn",1,0,"GLASS BOOKS","","The Golden Age of Venetian Glass","Hugh Tait","1979","ISBN 0-7141-1351-4","",""
"carowyn",1,0,"GLASS BOOKS","","The History of Beads Concise Edition","Lois Sherr Dubin","1995","ISBN 0-8109-2617-2","",""
"carowyn",1,0,"GLASS BOOKS","","The History of Beads from 30,000 BC to the Present","Lois Sherr Dubin","1987","ISBN 0-8109-9176-4","",""
"carowyn",1,0,"GLASS BOOKS","","Italian Blown Glass From Ancient Rome to Venice","Giovanni Mariacher","1961","Thames &amp; Hudson / London","",""
"carowyn",1,0,"GLASS BOOKS","","Masterpieces of Glass","various","1968","SBN 7141-0014-5","",""
"carowyn",1,0,"GLASS BOOKS","","Millefiori Beads from the West African Trade, Volume VI","John &amp; Ruth Picard","1991","ISBN 0-9622884-1-1","","SIGNED"
"carowyn",1,0,"GLASS BOOKS","","A Mural Glass Mosaic from the Imperial Roman Villa near Naples","R.T. Gunther","1912","","treatise to the Society of Antiquaries, London",""
"carowyn",1,0,"GLASS BOOKS","","Old Glass: European &amp; American","N. Hudson Moore","1924","Tudor Publishing Company / New York","",""
"carowyn",1,0,"GLASS BOOKS","","Old Glass","O.M. Wilkinson","1968","Philosophical Library / NY, NY","",""
"carowyn",1,0,"GLASS BOOKS","","On a Saracenic Goblet of Enamelled Glass of Medieval Date","Charles H Read","1902","","treatise to the Society of Antiquaries, Westminster",""
"carowyn",1,0,"GLASS BOOKS","","A Short History of Glass","Chloe Zerwick","1990","ISBN 0-8109-3801-4","",""
"carowyn",1,0,"GLASS BOOKS","","Soviet Glass","N. Woronow, E. Ratschuk","1973","Art Edition, Aurora, Leningrad","",""
"carowyn",1,0,"GLASS BOOKS","","The Von Dehn Collection of Ancient Glass","Christie's - London","4/30/75","","",""
"carowyn",1,0,"GLASS BOOKS","","White Hearts, Feather and Eye Beads from the West African Trade, Volume IV","John &amp; Ruth Picard","1988","","","SIGNED"
"carowyn",1,0,"GLASS BOOKS","","The Wonders of Ancient Glass at the Israeli Museum, Jerusalem","Yael Israeli","1998","ISBN 965-278-214-9","",""
"carowyn",1,0,"GLASS BOOKS","","The World of the Etruscans","Bowers Museum of Cultural Art","2001","no ISBN","Florence, Italy",""
"carowyn",1,0,"JEWELRY BOOKS","","American Jewelry","Christie's - New York","10/21/92","","",""
"carowyn",1,0,"JEWELRY BOOKS","","An Illustrated Dictionary of Jewelry","Harold Newman","1981","ISBN 0-500-27452-5","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ancestral Jewels: Treasures of Britain's Aristocracy","Diana Scarisbrick","1989","ISBN 0-86565-119-1","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ancient Gold: The Wealth of the Thracians","Ivan Marazov","1998","ISBN 1-882507-06-1","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ancient Gold Jewelry at the Dallas Museum of Art","Barbara Deppert-Lippitz","1996","ISBN 0-936227-19-2","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ancient Jewellery from the Near East and Egypt","Galerie Nefer Exhibition Catalog","Spring 1993","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ancient Jewelry","Ariadne Galleries - New York","12/9/83","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ancient Jewelry","Christie's - New York","Wed 12/5/2001","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ancient Jewelry","Christie's - New York","12/11/03","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ancient Jewelry","Christie's - New York","12/9/04","","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ancient Jewelry","Jack Ogden","1992","ISBN 0-520-08030-0","",""
"carowyn",1,0,"JEWELRY BOOKS","","Ancient Jewelry and Seals","Christie's - New York","12/6/00","","",""
