event_id,day_num,day_abbr,day_short,day_long
1,1,Fri,"Oct 7th","FRIDAY OCT 7th"
1,2,Sat,"Oct 8th","SATURDAY OCT 8th"
1,3,Sun,"Oct 9th","SUNDAY OCT 9th"
2,1,Fri,"Oct 27th","FRIDAY OCT 27th"
2,2,Sat,"Oct 28th","SATURDAY OCT 28th"
2,3,Sun,"Oct 29th","SUNDAY OCT 29th"
3,1,Fri,"Oct 19th","FRIDAY OCT 19th"
3,2,Sat,"Oct 20th","SATURDAY OCT 20th"
3,3,Sun,"Oct 21th","SUNDAY OCT 21th"
4,1,Fri,"Oct 32th","FRIDAY OCT 32th"
4,2,Sat,"Oct 33th","SATURDAY OCT 33th"
4,3,Sun,"Oct 34th","SUNDAY OCT 34th"
5,1,Fri,"sept 27th","FRIDAY SEPT 27th"
5,2,Sat,"Sept 28th","SATURDAY SEPT 28th"
5,3,Sun,"Sept 29th","SUNDAY SPT 29th"
6,1,Fri,"Aug 29th","FRIDAY AUG 29th"
6,2,Sat,"Aug 30th","SATURDAY AUG 30th"
6,3,Sun,"Aug 31st","SUNDAY AUG 31st"
6,4,Mon,"Sept 1st","MONDAY SEPT 1st"
